filename,title,album,artist,genre,tracknumber,comment
081 AtTakwir.mp3,081 AtTakwir,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,081,AtTakwir recitation by  Hani ArRifai
082 AlInfitar.mp3,082 AlInfitar,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,082,AlInfitar recitation by  Hani ArRifai
083 AlMutaffifin.mp3,083 AlMutaffifin,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,083,AlMutaffifin recitation by  Hani ArRifai
084 AlInshiqaq.mp3,084 AlInshiqaq,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,084,AlInshiqaq recitation by  Hani ArRifai
085 AlBurooj.mp3,085 AlBurooj,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,085,AlBurooj recitation by  Hani ArRifai
086 AtTariq.mp3,086 AtTariq,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,086,AtTariq recitation by  Hani ArRifai
087 AlAla.mp3,087 AlAla,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,087,AlAla recitation by  Hani ArRifai
088 AlGhashiya.mp3,088 AlGhashiya,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,088,AlGhashiya recitation by  Hani ArRifai
089 AlFajr.mp3,089 AlFajr,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,089,AlFajr recitation by  Hani ArRifai
090 AlBalad.mp3,090 AlBalad,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,090,AlBalad recitation by  Hani ArRifai
091 AshShams.mp3,091 AshShams,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,091,AshShams recitation by  Hani ArRifai
092 AlLail.mp3,092 AlLail,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,092,AlLail recitation by  Hani ArRifai
093 AdDhuha.mp3,093 AdDhuha,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,093,AdDhuha recitation by  Hani ArRifai
094 AlInshirah.mp3,094 AlInshirah,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,094,AlInshirah recitation by  Hani ArRifai
095 AtTin.mp3,095 AtTin,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,095,AtTin recitation by  Hani ArRifai
096 AlAlaq.mp3,096 AlAlaq,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,096,AlAlaq recitation by  Hani ArRifai
097 AlQadr.mp3,097 AlQadr,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,097,AlQadr recitation by  Hani ArRifai
098 AlBayyina.mp3,098 AlBayyina,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,098,AlBayyina recitation by  Hani ArRifai
099 AzZalzala.mp3,099 AzZalzala,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,099,AzZalzala recitation by  Hani ArRifai
100 AlAdiyat.mp3,100 AlAdiyat,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,100,AlAdiyat recitation by  Hani ArRifai
101 AlQaria.mp3,101 AlQaria,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,101,AlQaria recitation by  Hani ArRifai
102 AtTakathur.mp3,102 AtTakathur,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,102,AtTakathur recitation by  Hani ArRifai
103 AlAsr.mp3,103 AlAsr,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,103,AlAsr recitation by  Hani ArRifai
104 AlHumaza.mp3,104 AlHumaza,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,104,AlHumaza recitation by  Hani ArRifai
105 AlFil.mp3,105 AlFil,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,105,AlFil recitation by  Hani ArRifai
106 Quraish.mp3,106 Quraish,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,106,Quraish recitation by  Hani ArRifai
107 AlMaun.mp3,107 AlMaun,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,107,AlMaun recitation by  Hani ArRifai
108 AlKauther.mp3,108 AlKauther,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,108,AlKauther recitation by  Hani ArRifai
109 AlKafiroon.mp3,109 AlKafiroon,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,109,AlKafiroon recitation by  Hani ArRifai
110 AnNasr.mp3,110 AnNasr,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,110,AnNasr recitation by  Hani ArRifai
111 AlMasadd.mp3,111 AlMasadd,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,111,AlMasadd recitation by  Hani ArRifai
112 AlIkhlas.mp3,112 AlIkhlas,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,112,AlIkhlas recitation by  Hani ArRifai
113 AlFalaq.mp3,113 AlFalaq,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,113,AlFalaq recitation by  Hani ArRifai
114 AnNas.mp3,114 AnNas,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,114,AnNas recitation by  Hani ArRifai
